patient_id,first_name,last_name,dob,gender,ssn_last4,address,city,state,zip,phone,pcp_npi,insurance_id,last_visit_date,primary_dx_icd10
ECW-00125,Marie,,2004-01-09,F,3153,92644 Gregory Alley Suite 902,Moore,OK,95939,(172)513-5521,NPI-7788990011,BCBSOK-PPO,2026-05-08,Z00.00
ECW-00341,Kenneth,,1972-08-25,M,2678,9040 Melanie Manors Suite 528,Norman,OK,99316,(087)524-3772,NPI-9988776655,MEDICARE-A,2023-08-03,I21.9
ECW-00151,,Walls,2004-06-02,F,6062,39452 William Square,Norman,OK,51587,(996)846-0810,NPI-1122334455,MEDICARE-A,2026-05-08,E11.65
ECW-00331,Alejandro,,1993-11-23,M,5055,246 Torres Haven,Port Rebeccaport,TX,68971,(527)323-0085,NPI-3344556677,CIGNA-PPO,2026-05-08,Z00.00
ECW-00329,,Harris,1953-06-21,F,6302,339 Boyd Falls,Stillwater,OK,70171,(302)321-2983,NPI-9988776655,MEDICARE-A,1972-11-03,I50.9
ECW-00348,Kimberly,Clark,1978-08-16,F,7895,24329 Brittany Harbors,Lake Loribury,TX,29618,(446)267-1462,NPI-0987654321,SELFPAY,2026-05-08,ZZ999
ECW-00381,Cindy,Lewis,1972-03-04,F,1427,644 Christopher Cliff,Edmond,OK,46147,(683)420-1654,NPI-7788990011,AETNA-HMO,2026-05-08,BADCODE
ECW-00086,Kathy,Roberts,1990-12-02,F,9751,953 Walter Shore Apt. 644,Enid,OK,08926,(870)568-5662,NPI-6677889900,MEDICARE-A,2011-08-27,99999
ECW-00251,Eric,Davidson,1984-10-25,M,2341,46273 David Harbor Suite 195,Stillwater,OK,97964,(715)890-4290,NPI-7788990011,AETNA-HMO,2026-05-08,X00.000000
ECW-00087,Elijah,White,1949-10-16,M,,270 Faulkner Point Apt. 634,Allenbury,AR,35175,(183)046-9901,NPI-3344556677,BCBSOK-PPO,2008-07-20,123
ECW-00016,Diana,Jones,01/03/1997,F,3591,850 Natalie Green Apt. 940,Michaelhaven,KS,19655,(698)169-3406,NPI-9988776655,CIGNA-PPO,2026-05-08,M54.5
ECW-00099,Kevin,Johnston,10/21/1964,M,8245,0714 Knapp Corner,Brooksmouth,AR,12545,(738)757-1775,NPI-1122334455,MEDICARE-A,1990-08-06,I21.9
ECW-00445,James,Sherman,01/26/1988,M,9267,123 Kane Crescent,Moore,OK,06728,(728)660-4164,NPI-7788990011,CIGNA-PPO,2026-05-08,M54.5
ECW-00427,Meghan,Mathews,03/28/1980,F,8892,093 Rodriguez Parkways Suite 181,Edmond,OK,33595,(616)420-5955,NPI-5544332211,AETNA-HMO,1999-07-18,J44.1
ECW-00285,Carol,Hernandez,02/02/1968,F,6427,9334 Williams Branch,Maynardfort,KS,16679,(984)076-7899,NPI-6677889900,CIGNA-PPO,1986-08-07,F32.9
ECW-00276,Dawn,Harvey,1983-12-06,F,9005,092 Jackson Park,Tiffanystad,TX,57215,(862)415-0274,NPI-6677889900,MEDICAID-OK,2026-05-08,I10
